boroct2020,Neighborhood,Borough,Price,convenience_score,livability_score,affordability_score,combined_score,total_crimes,noise_complaint_count,total_mta_ridership,total_citibike_trips,total_businesses
1000201,Financial District/Battery Park,Manhattan,4748.0,2.359772671114406,95.51575997909688,25.567765567765576,48.93776632510564,19.0,250,0.0,764.0,0.0
1000202,Financial District/Battery Park,Manhattan,4748.0,6.443044230294046,89.89527917064738,25.567765567765576,48.16916170047072,34.0,814,0.0,2086.0,0.0
1000500,Financial District/Battery Park,Manhattan,5087.5,3.647763775636274,99.98867625410486,17.27716727716728,51.81822001487057,0.0,3,0.0,1181.0,0.0
1000600,Financial District/Battery Park,Manhattan,4748.0,15.626163934660612,87.78547108432014,25.567765567765576,51.70581750949037,42.0,958,100184.0,4330.0,0.0
1000700,Financial District/Battery Park,Manhattan,5087.5,22.700547414359345,87.68863290138191,17.27716727716728,55.19459015787063,37.0,1118,176910.0,6062.0,0.0
1000800,Financial District/Battery Park,Manhattan,4748.0,6.974301952063257,88.75337651015344,25.567765567765576,47.86383923110835,30.0,1130,0.0,2258.0,0.0
1000900,Financial District/Battery Park,Manhattan,5087.5,10.32965770765845,81.60954038417916,17.27716727716728,45.969599045918805,52.0,1763,145280.0,2287.0,0.0
1001001,Financial District/Battery Park,Manhattan,4748.0,0.0,98.53982312235618,25.567765567765576,49.26991156117809,5.0,116,0.0,0.0,0.0
1001002,Financial District/Battery Park,Manhattan,4748.0,2.8261675315048187,95.74699893248959,25.567765567765576,49.286583231997206,21.0,152,0.0,915.0,0.0
1001200,Financial District/Battery Park,Manhattan,4748.0,5.13034346429454,96.09983073015441,25.567765567765576,50.615087097224475,17.0,204,0.0,1661.0,0.0
1001300,Financial District/Battery Park,Manhattan,5087.5,22.957065702995703,82.4724537971012,17.27716727716728,52.71475975004845,91.0,496,262244.0,5524.0,0.0
1001401,Financial District/Battery Park,Manhattan,4748.0,9.09006671608599,90.36428014141123,25.567765567765576,49.72717342874861,55.0,131,0.0,2943.0,0.0
1001402,Financial District/Battery Park,Manhattan,4748.0,0.0,88.26317558145969,25.567765567765576,44.131587790729846,31.0,1188,0.0,0.0,0.0
1001501,Financial District/Battery Park,Manhattan,5087.5,15.880062180163002,90.95525874392906,17.27716727716728,53.41766046204603,25.0,884,426818.0,2035.0,0.0
1001502,Financial District/Battery Park,Manhattan,5087.5,11.357875012938266,83.04582379151995,17.27716727716728,47.20184940222911,75.0,852,31.0,3677.0,0.0
1001600,Financial District/Battery Park,Manhattan,4748.0,16.129231529528045,80.45690032061958,25.567765567765576,48.29306592507381,53.0,1938,0.0,5222.0,0.0
1001800,Financial District/Battery Park,Manhattan,4748.0,33.57527213434144,47.89715473477332,25.567765567765576,40.736213434557385,106.0,6174,337369.0,8415.0,0.0
1002000,Financial District/Battery Park,Manhattan,5261.0,4.460093896713615,95.25621166096631,13.040293040293022,49.858152778839965,17.0,353,0.0,1444.0,0.0
1002100,Financial District/Battery Park,Manhattan,5300.0,24.313333938056413,83.13817278716965,12.087912087912088,53.725753362613034,90.0,407,308838.0,5624.0,0.0
1002201,Financial District/Battery Park,Manhattan,4748.0,3.0361996540647396,90.51660101459298,25.567765567765576,46.77640033432886,31.0,790,0.0,983.0,0.0
1002202,Financial District/Battery Park,Manhattan,5261.0,3.657029898690388,95.23297782634651,13.040293040293022,49.44500386251845,12.0,500,0.0,1184.0,0.0
1002400,Financial District/Battery Park,Manhattan,5261.0,2.137385717815666,86.9558692734003,13.040293040293022,44.54662749560798,36.0,1276,0.0,692.0,0.0
1002500,Financial District/Battery Park,Manhattan,5087.5,2.875586854460094,92.47143136179221,17.27716727716728,47.673509108126154,34.0,359,0.0,931.0,0.0
1002601,Financial District/Battery Park,Manhattan,5261.0,2.2732888559426736,88.04861075228152,13.040293040293022,45.16094980411209,36.0,1083,0.0,736.0,0.0
1002602,Financial District/Battery Park,Manhattan,5261.0,3.6693847294292072,89.37977388421709,13.040293040293022,46.52457930682315,22.0,1248,0.0,1188.0,0.0
1002700,Financial District/Battery Park,Manhattan,5087.5,2.974425500370645,96.58764964110321,17.27716727716728,49.78103757073693,15.0,175,0.0,963.0,0.0
1002800,Financial District/Battery Park,Manhattan,5261.0,3.7774894983938716,87.34595216395319,13.040293040293022,45.56172083117353,31.0,1350,0.0,1223.0,0.0
1002901,Financial District/Battery Park,Manhattan,5300.0,6.341782571992561,96.26789124366613,12.087912087912088,51.30483690782935,21.0,60,111051.0,1245.0,0.0
1002902,Financial District/Battery Park,Manhattan,5795.0,3.1535705460835186,90.04041734416748,0.0,46.5969939451255,26.0,1017,0.0,1021.0,0.0
1003001,Financial District/Battery Park,Manhattan,4748.0,8.558808994316779,59.98770878843615,25.567765567765576,34.273258891376464,69.0,5096,0.0,2771.0,0.0
1003002,Financial District/Battery Park,Manhattan,5261.0,8.778107239930813,86.95317576102718,13.040293040293022,47.865641500479,42.0,1105,0.0,2842.0,0.0
1003100,Financial District/Battery Park,Manhattan,5795.0,9.404930316913303,85.70093070930258,0.0,47.552930513107945,82.0,183,20877.0,2893.0,0.0
1003200,Financial District/Battery Park,Manhattan,5261.0,25.593031875463307,76.3279474079799,13.040293040293022,50.96048964172161,31.0,3296,0.0,8286.0,0.0
1003300,Financial District/Battery Park,Manhattan,5795.0,20.223478800061113,83.6799535616479,0.0,51.95171618085451,75.0,740,99006.0,5827.0,0.0
1003400,Financial District/Battery Park,Manhattan,5261.0,20.1261179805392,81.04877676059513,13.040293040293022,50.58744737056716,21.0,2748,162964.0,5330.0,0.0
1003601,Financial District/Battery Park,Manhattan,4748.0,8.154188287620459,89.01116579979544,25.567765567765576,48.582677043707946,17.0,1456,0.0,2640.0,0.0
1003602,Financial District/Battery Park,Manhattan,4871.5,17.85099593383303,93.97483269989985,22.551892551892564,55.91291431686644,21.0,465,119738.0,4908.0,0.0
1003700,Financial District/Battery Park,Manhattan,5795.0,36.00683368738128,89.83151438793688,0.0,62.919174037659076,31.0,911,118932.0,10792.0,0.0
1003800,Financial District/Battery Park,Manhattan,4871.5,19.295156906350382,67.84365828086482,22.551892551892564,43.5694075936076,94.0,2994,0.0,6247.0,0.0
1003900,Financial District/Battery Park,Manhattan,5795.0,17.083642204101803,93.2936122712759,0.0,55.188627237688856,25.0,471,0.0,5531.0,0.0
1004001,Financial District/Battery Park,Manhattan,4871.5,16.895231035334817,95.45379087130178,22.551892551892564,56.1745109533183,12.0,461,0.0,5470.0,0.0
1004002,Financial District/Battery Park,Manhattan,4871.5,3.7280701754385963,94.44179979397379,22.551892551892564,49.084934984706194,15.0,554,0.0,1207.0,0.0
1004100,Financial District/Battery Park,Manhattan,5795.0,9.647652604238933,79.31913870635915,0.0,44.48339565529904,65.0,1796,72.0,3123.0,0.0
1004200,Financial District/Battery Park,Manhattan,4871.5,7.9040029651593775,94.22664862196609,22.551892551892564,51.065325793562735,15.0,592,0.0,2559.0,0.0
1004300,Financial District/Battery Park,Manhattan,5795.0,11.674335176838882,77.61663733120199,0.0,44.64548625402043,99.0,1125,40078.0,3488.0,0.0
1004400,Financial District/Battery Park,Manhattan,5261.0,15.752409191994069,92.34089678936989,13.040293040293022,54.04665299068198,41.0,182,0.0,5100.0,0.0
1004500,Financial District/Battery Park,Manhattan,5795.0,20.383688677295243,90.2045750132202,0.0,55.294131845257716,45.0,445,217017.0,5020.0,0.0
1004700,Financial District/Battery Park,Manhattan,5795.0,7.3300153757799436,88.56801888317082,0.0,47.94901712947538,33.0,1077,1122.0,2365.0,0.0
1004800,Financial District/Battery Park,Manhattan,4871.5,6.852211495539076,92.58408247791411,22.551892551892564,49.718146986726595,29.0,482,37988.0,1942.0,0.0
1004900,Financial District/Battery Park,Manhattan,5795.0,12.771806276254017,76.66185132617922,0.0,44.716828801216614,107.0,1065,0.0,4135.0,0.0
1005000,Financial District/Battery Park,Manhattan,4871.5,16.076723498888065,92.80044298200771,22.551892551892564,54.43858324044788,20.0,701,0.0,5205.0,0.0
1005200,Financial District/Battery Park,Manhattan,4871.5,29.043549497337896,73.94235663642971,22.551892551892564,51.4929530668838,111.0,1431,447952.0,6143.0,0.0
1005400,Financial District/Battery Park,Manhattan,5795.0,9.624413145539906,83.49459593466528,0.0,46.559504540102594,78.0,687,0.0,3116.0,0.0
1005501,Financial District/Battery Park,Manhattan,5795.0,5.260069187052138,94.56276964898953,0.0,49.911419418020834,23.0,304,0.0,1703.0,0.0
1005502,Financial District/Battery Park,Manhattan,5795.0,14.56742867273391,91.40520357273344,0.0,52.986316122733676,38.0,433,173313.0,3455.0,0.0
1005600,Financial District/Battery Park,Manhattan,5527.0,23.567513303137005,91.95053905061567,6.54456654456655,57.75902617687634,34.0,451,204760.0,6140.0,0.0
1005700,Financial District/Battery Park,Manhattan,4871.5,16.916130799785265,95.57804058152016,22.551892551892564,56.24708569065271,19.0,239,186973.0,4116.0,0.0
1005800,Financial District/Battery Park,Manhattan,4915.0,19.571640379834413,90.8205464788464,21.4896214896215,55.19609342934041,35.0,622,128817.0,5399.0,0.0
1005900,Financial District/Battery Park,Manhattan,4871.5,11.23054114158636,91.79797997565944,22.551892551892564,51.5142605586229,27.0,678,0.0,3636.0,0.0
1006000,Financial District/Battery Park,Manhattan,5527.0,8.144922164566346,98.60686776026934,6.54456654456655,53.375894962417846,7.0,47,0.0,2637.0,0.0
1006100,Financial District/Battery Park,Manhattan,4871.5,23.937484556461573,87.51874006652793,22.551892551892564,55.72811231149475,56.0,605,0.0,7750.0,0.0
1006200,Financial District/Battery Park,Manhattan,5117.5,3.8608846058808997,95.67011472896853,16.54456654456655,49.76549966742471,22.0,137,0.0,1250.0,0.0
1006300,Financial District/Battery Park,Manhattan,5795.0,11.153728075695268,89.20480551924506,0.0,50.17926679747016,46.0,593,18.0,3611.0,0.0
1006400,Financial District/Battery Park,Manhattan,5527.0,7.576599950580676,90.08270732074675,6.54456654456655,48.82965363566371,39.0,638,0.0,2453.0,0.0
1006500,Financial District/Battery Park,Manhattan,5795.0,18.794786261428218,64.40635170528651,0.0,41.60056898335736,70.0,4287,0.0,6085.0,0.0
1006600,Financial District/Battery Park,Manhattan,5117.5,12.246725969854213,82.44242205030162,16.54456654456655,47.34457401007791,57.0,1473,0.0,3965.0,0.0
1006700,Financial District/Battery Park,Manhattan,5647.5,13.346305905609093,80.48040900344074,3.6019536019535963,46.91335745452491,70.0,1448,0.0,4321.0,0.0
1006800,Financial District/Battery Park,Manhattan,5527.0,9.882085032179841,80.84780775577649,6.54456654456655,45.364946393978165,84.0,983,109843.0,2400.0,0.0
1006900,Financial District/Battery Park,Manhattan,5647.5,15.93464294539165,95.81615073994632,3.6019536019535963,55.875396842668984,12.0,397,0.0,5159.0,0.0
1007001,Financial District/Battery Park,Manhattan,5117.5,16.848900420064243,97.64017166652191,16.54456654456655,57.244536043293074,10.0,132,0.0,5455.0,0.0
1007002,Financial District/Battery Park,Manhattan,5117.5,4.904867803311094,95.05238423485376,16.54456654456655,49.97862601908243,17.0,389,0.0,1588.0,0.0
1007100,Financial District/Battery Park,Manhattan,5795.0,17.491917357001217,84.96347633868481,0.0,51.22769684784301,41.0,1485,265762.0,3729.0,0.0
1007200,Financial District/Battery Park,Manhattan,5117.5,17.53150481838399,90.16048936172552,16.54456654456655,53.84599709005476,36.0,710,0.0,5676.0,0.0
1007300,Financial District/Battery Park,Manhattan,5647.5,12.148171738754398,77.16610615956807,3.6019536019535963,44.65713894916124,81.0,1719,78607.0,3361.0,0.0
1007400,Financial District/Battery Park,Manhattan,5117.5,11.646851162861731,86.38816115192913,16.54456654456655,49.01750615739543,52.0,919,142457.0,2734.0,0.0
1007500,Financial District/Battery Park,Manhattan,5647.5,6.597479614529281,92.94913585893178,3.6019536019535963,49.77330773673053,23.0,589,0.0,2136.0,0.0
1007600,Financial District/Battery Park,Manhattan,4915.0,8.5653150580987,84.436848861707,21.4896214896215,46.501081959902855,79.0,492,70090.0,2263.0,0.0
1007700,Financial District/Battery Park,Manhattan,5647.5,17.72918211020509,87.05091178142312,3.6019536019535963,52.390046945814106,45.0,1002,0.0,5740.0,0.0
1007800,Financial District/Battery Park,Manhattan,5117.5,6.483197430195207,88.69406426830461,16.54456654456655,47.58863084924991,36.0,969,0.0,2099.0,0.0
1007900,Financial District/Battery Park,Manhattan,5647.5,16.30219915987151,91.06252283530473,3.6019536019535963,53.68236099758812,32.0,665,0.0,5278.0,0.0
1008000,Financial District/Battery Park,Manhattan,5117.5,22.54447739065975,85.42439677232932,16.54456654456655,53.984437081494534,80.0,289,0.0,7299.0,0.0
1008100,Financial District/Battery Park,Manhattan,5795.0,24.116426243418502,90.01804470057854,0.0,57.06723547199852,38.0,678,520335.0,4021.0,0.0
1008200,Financial District/Battery Park,Manhattan,5117.5,9.948727452433902,92.61864005842907,16.54456654456655,51.28368375543148,34.0,333,0.0,3221.0,0.0
